Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money,BClass
31,0,1,2,0.6931471805599453,1,2,1,1,0.6931471805599453,0,2,30.0,0
109,1,0,2,1.0986122886681098,2,2,0,0,1.0986122886681098,2,1,15.0,0
54,0,1,2,0.6931471805599453,0,1,0,0,0.6931471805599453,1,0,15.0,0
153,0,0,0,1.0986122886681098,2,1,1,0,0.6931471805599453,5,2,20.0,1
68,1,0,1,1.0986122886681098,0,1,0,1,1.0986122886681098,4,0,10.0,1
72,0,1,2,1.0986122886681098,2,1,1,0,0.6931471805599453,0,0,39.5,1
27,0,0,2,1.0986122886681098,1,0,1,0,1.0986122886681098,9,1,20.0,1
23,1,1,3,1.0986122886681098,0,0,1,1,0.6931471805599453,3,1,3.0,1
60,1,0,1,1.0986122886681098,0,2,0,1,1.0986122886681098,2,1,15.0,0
57,0,1,3,1.0986122886681098,2,2,1,0,0.6931471805599453,0,1,15.0,0
55,1,0,2,1.0986122886681098,0,1,0,0,1.0986122886681098,3,0,10.0,1
21,0,0,3,1.0986122886681098,1,1,0,0,0.6931471805599453,4,1,8.0,1
